t,theta,omega
0.0,1.0,0.0
0.01,0.999587551722963,-0.0824585241517329
0.02,0.9983515523337037,-0.16470836994010046
0.03,0.9962943512058905,-0.24670597897137814
0.04,0.9934186119615066,-0.32840863527811087
0.05,0.9897274553710519,-0.40977295911784223
0.06,0.9852244693011474,-0.4907548161019054
0.07,0.979913708714535,-0.5713093171954233
0.08,0.9737996956700775,-0.6513908187173078
0.09,0.9668874193227588,-0.7309529223402608
0.1,0.9591823359236835,-0.809948475090774
0.11,0.9506903688200774,-0.888329569349128
0.12,0.941417908455287,-0.9660475428493936
0.13,0.9313718123687796,-1.043052978679431
0.14,0.9205600444150537,-1.1193079815656395
0.15,0.9089930922960944,-1.1948117029310452
0.16,0.8966787718653789,-1.2694983310235808
0.17,0.8836251464562518,-1.3432941472847828
0.18,0.8698409762629515,-1.4161262492041296
0.19,0.8553357183406096,-1.4879225503190434
0.2,0.8401195266052515,-1.5586117802148882
0.21,0.8242032518337961,-1.6281234845249704
0.22,0.8075984416640555,-1.6963880249305396
0.23,0.7903173405947359,-1.7633365791607878
0.24,0.7723728899854369,-1.8289011409928488
0.25,0.7537787280566512,-1.8930145202518003
0.26,0.7345491898897656,-1.9556103428106613
0.27,0.7146993074270602,-2.0166230505903937
0.28,0.6942448094717087,-2.0759879015599028
0.29,0.6732021216877784,-2.1336409697360352
0.3,0.6515883666002298,-2.189519145183582
0.31,0.6294213635949174,-2.243560134015274
0.32,0.606719628918589,-2.295702458391787
0.33,0.583502375678886,-2.345885456521738
0.34,0.5597895138443432,-2.3940492826616877
0.35000000000000003,0.5356016502443894,-2.4401349071161382
0.36,0.5109600885693467,-2.4840841162375353
0.37,0.4858868293704301,-2.5258395124262663
0.38,0.46040457005974933,-2.5653445141306612
0.39,0.43453670491030666,-2.6025433558469935
0.4,0.4083073250559984,-2.6373810881194784
0.41000000000000003,0.38174121849161446,-2.669803577540274
0.42,0.35486387007283826,-2.699757506749481
0.43,0.32770146151624635,-2.7271903744351427
0.44,0.30028087139930904,-2.7520504953332443
0.45,0.2726296751603906,-2.774287000227714
0.46,0.24477614509874857,-2.793849835950424
0.47000000000000003,0.21674840276763688,-2.8106932806483393
0.48,0.18856281874072928,-2.824829393792881
0.49,0.16024505933014058,-2.8362473146312577
0.5,0.13182514617883387,-2.8449230319916325
0.51,0.10333273514530453,-2.850837396846932
0.52,0.07479711630358041,-2.853976122314848
0.53,0.046247213943221815,-2.8543297836578376
0.54,0.017711586569321508,-2.851893818283124
0.55,-0.010781573097495223,-2.846668525742694
0.56,-0.03920443812107072,-2.838659067733301
0.5700000000000001,-0.06752954734971478,-2.8278754680964626
0.58,-0.0957298054162044,-2.814332612818463
0.59,-0.12377848273778508,-2.798050250030349
0.6,-0.151649215516169,-2.779052990007935
0.61,-0.17931600573753603,-2.7573703051717997
0.62,-0.20675322117253375,-2.7330365300872863
